state,year,district,block,block_no,gram_panchayat,gp_no,ward_no,seat_no,seat_id_raw,seat_from_image,tier,tier_local,reservation,caste_reservation,woman_reserved,winner,vacant,reservation_raw,script,source_path,source_page,source_pdf
Jharkhand,2015,Garhwa,खरौंधी,01,,,,01,I x<+ok@01@[kjkSa/kh& ¼01½,,block_member,panchayat_samiti,Woman,NONE,1,ज्ञानमति देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,केतार,02,,,,03,I x<+ok@02@dsrkj & ¼03½,,block_member,panchayat_samiti,Other than Woman,NONE,0,मनोज साव,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,केतार,02,,,,04,I x<+ok@02@dsrkj & ¼04½,,block_member,panchayat_samiti,Woman,NONE,1,कौशल्या देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,केतार,02,,,,05,I x<+ok@02@dsrkj & ¼05½,,block_member,panchayat_samiti,SC Woman,SC,1,मीना देवी,0,vuqlwfpr tkfr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,केतार,02,,,,06,I x<+ok@02@dsrkj & ¼06½,,block_member,panchayat_samiti,BC Woman,BC,1,बबीता देवी,0,vU; fiNM+k oxZ | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,केतार,02,,,,07,I x<+ok@02@dsrkj & ¼07½,,block_member,panchayat_samiti,Other than Woman,NONE,0,सुमन देवी,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,केतार,02,,,,08,I x<+ok@02@dsrkj & ¼08½,,block_member,panchayat_samiti,BC Other than Woman,BC,0,माया देवी,0,vU; fiNM+k oxZ | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,केतार,02,,,,09,I x<+ok@02@dsrkj & ¼09½,,block_member,panchayat_samiti,SC Other than Woman,SC,0,लक्ष्मी राम,0,vuqlwfpr tkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,केतार,02,,,,10,I x<+ok@02@dsrkj & ¼10½,,block_member,panchayat_samiti,Woman,NONE,1,सबिता देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,भवनाथपुर,03,,,,01,I x<+ok@03@ HkoukFkiqj &¼01½,,block_member,panchayat_samiti,SC Woman,SC,1,चिन्ता,0,vuqlwfpr tkfr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,भवनाथपुर,03,,,,02,I x<+ok@03@ HkoukFkiqj &¼02½,,block_member,panchayat_samiti,Woman,NONE,1,स्मिता यादव,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,भवनाथपुर,03,,,,03,I x<+ok@03@ HkoukFkiqj &¼03½,,block_member,panchayat_samiti,Other than Woman,NONE,0,रीता देवी,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,भवनाथपुर,03,,,,04,I x<+ok@03@ HkoukFkiqj &¼04½,,block_member,panchayat_samiti,ST Woman,ST,1,उषा देवी,0,vuqlwfpr tutkfr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,भवनाथपुर,03,,,,05,I x<+ok@03@ HkoukFkiqj &¼05½,,block_member,panchayat_samiti,SC Other than Woman,SC,0,निर्मला देवी,0,vuqlwfpr tkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,भवनाथपुर,03,,,,06,I x<+ok@03@ HkoukFkiqj &¼06½,,block_member,panchayat_samiti,BC Woman,BC,1,लालो देवी,0,vU; fiNM+k oxZ | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,भवनाथपुर,03,,,,07,I x<+ok@03@ HkoukFkiqj &¼07½,,block_member,panchayat_samiti,Woman,NONE,1,मीना देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,भवनाथपुर,03,,,,08,I x<+ok@03@ HkoukFkiqj &¼08½,,block_member,panchayat_samiti,Other than Woman,NONE,0,चन्दन कुमार ठाकुर,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,1,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,भवनाथपुर,03,,,,09,I x<+ok@03@ HkoukFkiqj &¼09½,,block_member,panchayat_samiti,SC Woman,SC,1,माया देवी,0,vuqlwfpr tkfr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,भवनाथपुर,03,,,,10,I x<+ok@03@ HkoukFkiqj &¼10½,,block_member,panchayat_samiti,Other than Woman,NONE,0,हीरा प्रसाद साह,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,भवनाथपुर,03,,,,11,I x<+ok@03@ HkoukFkiqj &¼11½,,block_member,panchayat_samiti,Woman,NONE,1,गुड्डन देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,भवनाथपुर,03,,,,12,I x<+ok@03@ HkoukFkiqj &¼12½,,block_member,panchayat_samiti,ST Other than Woman,ST,0,अखिलेश उरा¡व,0,vuqlwfpr tutkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,भवनाथपुर,03,,,,13,I x<+ok@03@ HkoukFkiqj &¼13½,,block_member,panchayat_samiti,Woman,NONE,1,मूर्ति देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,भवनाथपुर,03,,,,14,I x<+ok@03@ HkoukFkiqj &¼14½,,block_member,panchayat_samiti,Other than Woman,NONE,0,आलोक कुमार सिंह,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,भवनाथपुर,03,,,,15,I x<+ok@03@ HkoukFkiqj &¼15½,,block_member,panchayat_samiti,BC Other than Woman,BC,0,श्रवण मेहता,0,vU; fiNM+k oxZ | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,भवनाथपुर,03,,,,16,I x<+ok@03@ HkoukFkiqj &¼16½,,block_member,panchayat_samiti,Woman,NONE,1,प्रमीला देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,भवनाथपुर,03,,,,17,I x<+ok@03@ HkoukFkiqj &¼17½,,block_member,panchayat_samiti,SC Other than Woman,SC,0,कालीचरण राम,0,vuqlwfpr tkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,विशुनपुरा,07,,,,1,A x<+ok@07@fo'kquiqjk &¼1½,,block_member,panchayat_samiti,Woman,NONE,1,जमीला बीबी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,विशुनपुरा,07,,,,2,A x<+ok@07@fo'kquiqjk &¼2½,,block_member,panchayat_samiti,Woman,NONE,1,चन्दा देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,विशुनपुरा,07,,,,3,A x<+ok@07@fo'kquiqjk &¼3½,,block_member,panchayat_samiti,BC Other than Woman,BC,0,इंद्रजीत ठाकुर,0,vU; fiNM+k oxZ | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,विशुनपुरा,07,,,,4,A x<+ok@07@fo'kquiqjk &¼4½,,block_member,panchayat_samiti,SC Woman,SC,1,सविता देवी,0,vuqlwfpr tkfr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,विशुनपुरा,07,,,,5,A x<+ok@07@fo'kquiqjk &¼5½,,block_member,panchayat_samiti,Other than Woman,NONE,0,कृषण मिस्त्री,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,विशुनपुरा,07,,,,6,A x<+ok@07@fo'kquiqjk &¼6½,,block_member,panchayat_samiti,SC Other than Woman,SC,0,राम सहाई राम,0,vuqlwfpr tkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,रमना,8,,,,01,I x<+ok@8@ jeuk& ¼01½,,block_member,panchayat_samiti,Other than Woman,NONE,0,कलीमुल्लाह अंसारी,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,रमना,8,,,,02,I x<+ok@8@ jeuk& ¼02½,,block_member,panchayat_samiti,Woman,NONE,1,पुषपा देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,रमना,8,,,,03,I x<+ok@8@ jeuk& ¼03½,,block_member,panchayat_samiti,SC Other than Woman,SC,0,विंध्याचल बैठा,0,vuqlwfpr tkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,रमना,8,,,,04,I x<+ok@8@ jeuk& ¼04½,,block_member,panchayat_samiti,ST Woman,ST,1,कलावती देवी,0,vuqlwfpr tutkfr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,रमना,8,,,,05,I x<+ok@8@ jeuk& ¼05½,,block_member,panchayat_samiti,Other than Woman,NONE,0,मृत्युंजय सिंह,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,रमना,8,,,,06,I x<+ok@8@ jeuk& ¼06½,,block_member,panchayat_samiti,SC Woman,SC,1,शांति देवी,0,vuqlwfpr tkfr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,रमना,8,,,,07,I x<+ok@8@ jeuk& ¼07½,,block_member,panchayat_samiti,Woman,NONE,1,सकीला बीबी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,रमना,8,,,,08,I x<+ok@8@ jeuk& ¼08½,,block_member,panchayat_samiti,SC Other than Woman,SC,0,गोपाल राम,0,vuqlwfpr tkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,रमना,8,,,,09,I x<+ok@8@ jeuk& ¼09½,,block_member,panchayat_samiti,Woman,NONE,1,संध्या कुमारी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,रमना,8,,,,10,I x<+ok@8@ jeuk& ¼10½,,block_member,panchayat_samiti,SC Woman,SC,1,उर्मिला देवी,0,vuqlwfpr tkfr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,रमना,8,,,,11,I x<+ok@8@ jeuk& ¼11½,,block_member,panchayat_samiti,ST Other than Woman,ST,0,नन्द गोपाल गोड़,0,vuqlwfpr tutkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,रमना,8,,,,12,I x<+ok@8@ jeuk& ¼12½,,block_member,panchayat_samiti,Other than Woman,NONE,0,नंदू महतो,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,रमना,8,,,,13,I x<+ok@8@ jeuk& ¼13½,,block_member,panchayat_samiti,Woman,NONE,1,सीमा देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,रमना,8,,,,14,I x<+ok@8@ jeuk& ¼14½,,block_member,panchayat_samiti,BC Other than Woman,BC,0,रविन्द्र कुमार चौधरी,0,vU; fiNM+k oxZ | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,नगर उंटारी,9,,,,1,I x<+ok@9@ uxj maVkjh& ¼1½,,block_member,panchayat_samiti,SC Other than Woman,SC,0,धर्मेन्द्र कुमार,0,vuqlwfpr tkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,2,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,नगर उंटारी,9,,,,2,I x<+ok@9@ uxj maVkjh& ¼2½,,block_member,panchayat_samiti,SC Other than Woman,SC,0,रविन्द्र कुमार पासवान,0,vuqlwfpr tkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,नगर उंटारी,9,,,,3,I x<+ok@9@ uxj maVkjh& ¼3½,,block_member,panchayat_samiti,Woman,NONE,1,पुनम तिवारी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,नगर उंटारी,9,,,,4,I x<+ok@9@ uxj maVkjh& ¼4½,,block_member,panchayat_samiti,SC Woman,SC,1,प्रभा देवी,0,vuqlwfpr tkfr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,नगर उंटारी,9,,,,5,I x<+ok@9@ uxj maVkjh& ¼5½,,block_member,panchayat_samiti,Other than Woman,NONE,0,अशविनी कुमार सिंह,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,नगर उंटारी,9,,,,6,I x<+ok@9@ uxj maVkjh& ¼6½,,block_member,panchayat_samiti,Woman,NONE,1,फुल कुमारी देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,नगर उंटारी,9,,,,7,I x<+ok@9@ uxj maVkjh& ¼7½,,block_member,panchayat_samiti,Woman,NONE,1,जितनी देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,नगर उंटारी,9,,,,8,I x<+ok@9@ uxj maVkjh& ¼8½,,block_member,panchayat_samiti,SC Woman,SC,1,संगीता देवी,0,vuqlwfpr tkfr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,नगर उंटारी,9,,,,9,I x<+ok@9@ uxj maVkjh& ¼9½,,block_member,panchayat_samiti,Woman,NONE,1,विन्दा देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,नगर उंटारी,9,,,,10,I x<+ok@9@ uxj maVkjh& ¼10½,,block_member,panchayat_samiti,BC Other than Woman,BC,0,अवधेश कुमार मेहता,0,vU; fiNM+k oxZ | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,नगर उंटारी,9,,,,11,I x<+ok@9@ uxj maVkjh& ¼11½,,block_member,panchayat_samiti,ST Other than Woman,ST,0,कुंती देवी,0,vuqlwfpr tutkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,नगर उंटारी,9,,,,12,I x<+ok@9@ uxj maVkjh& ¼12½,,block_member,panchayat_samiti,ST Woman,ST,1,अनिता देवी,0,vuqlwfpr tutkfr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,नगर उंटारी,9,,,,13,I x<+ok@9@ uxj maVkjh& ¼13½,,block_member,panchayat_samiti,Other than Woman,NONE,0,गुलाम साबीर साह,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,नगर उंटारी,9,,,,14,I x<+ok@9@ uxj maVkjh& ¼14½,,block_member,panchayat_samiti,Other than Woman,NONE,0,रामप्रवेश प्रजापति,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,सगमा,10,,,,01,I x<+ok@10@lxek & ¼01½,,block_member,panchayat_samiti,SC Other than Woman,SC,0,सुशील कुमार बैठा,0,vuqlwfpr tkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,सगमा,10,,,,02,I x<+ok@10@lxek & ¼02½,,block_member,panchayat_samiti,Woman,NONE,1,उषा देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,सगमा,10,,,,03,I x<+ok@10@lxek & ¼03½,,block_member,panchayat_samiti,Woman,NONE,1,रीता देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,सगमा,10,,,,04,I x<+ok@10@lxek & ¼04½,,block_member,panchayat_samiti,Other than Woman,NONE,0,संजय यादव,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,सगमा,10,,,,05,I x<+ok@10@lxek & ¼05½,,block_member,panchayat_samiti,SC Woman,SC,1,गीता देवी,0,vuqlwfpr tkfr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,सगमा,10,,,,06,I x<+ok@10@lxek & ¼06½,,block_member,panchayat_samiti,ST Other than Woman,ST,0,नागवंती देवी,0,vuqlwfpr tutkfr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,धुरकी,11,,,,01,I x<+ok@11@ /kqjdh& ¼01½,,block_member,panchayat_samiti,SC Woman,SC,1,सुनीला देवी,0,vuqlwfpr tkfr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,धुरकी,11,,,,02,I x<+ok@11@ /kqjdh& ¼02½,,block_member,panchayat_samiti,Woman,NONE,1,जगोत्री देवी,0,vukjf{kr | efgyk,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
Jharkhand,2015,Garhwa,धुरकी,11,,,,03,I x<+ok@11@ /kqjdh& ¼03½,,block_member,panchayat_samiti,Other than Woman,NONE,0,विनोद कोरवा,0,vukjf{kr | vU;,devanagari,data/jharkhand/2015/1. GARHWA MUKHIYA PSS/GARHWA PSS.pdf,3,GARHWA PSS.pdf
