DISTRICT,PANCHAYATSAMITI,GRAMPANCHAYAT,ward_category,Name of Sarpanch,Sex,Category
AJMER,JAW AJA,NAIKALAN,OBC,Mangal Singh,M,OBC
AJMER,JAW AJA,NARBADKHERA,OBCW,Shravani,F,OBCW
AJMER,JAW AJA,NUNDRI MALDEV,SC,Ram lal,M,SC
AJMER,JAW AJA,NUNDRIMEDRATAN,GEN,Mira,F,OBCW
AJMER,JAW AJA,RAJIYAWAS,GEN,Chagni Devi,F,OBCW
AJMER,JAW AJA,RAWATMAL,GEN,Poonam Singh,M,OBC
AJMER,JAW AJA,ROOPNAGAR,GENW,Halimi,F,OBCW
AJMER,JAW AJA,SARMALIYA,OBC,Madan Singh,M,OBC
AJMER,JAW AJA,SARWEENA,GENW,Laxmi Devi,F,OBCW
AJMER,JAW AJA,SUHAWA,OBC,Padam Singh,M,OBC
AJMER,JAW AJA,SURAJPURA,GEN,Sarla,F,GENW
AJMER,JAW AJA,SURDIY A,GEN,Badami Devi,F,OBCW
AJMER,JAW AJA,T ARAGARH,GENW,Priyanka Devi,F,OBCW
AJMER,JAW AJA,TATGARH,GEN,Bhagwan Singh,M,OBC
AJMER,KEKRI,ALOLI,SC,MUKESH,M,SC
AJMER,KEKRI,BAGHERA,GENW,SUSHEEL A,F,GENW
AJMER,KEKRI,BAJT A,SC,SHAMBHU,M,SC
AJMER,KEKRI,BHARAI,GEN,MAHADEO,M,OBC
AJMER,KEKRI,BHEEMDAW AS,ST,SODAN MEENA,M,ST
AJMER,KEKRI,CHITIW AS,GEN,DURGA LAL,M,SC
AJMER,KEKRI,DEVGAON,GEN,KARANGEET SINGH,M,GEN
AJMER,KEKRI,DHOONDHARI,GENW,BALI,F,OBCW
AJMER,KEKRI,GHATIYALI,SCW,ANOP,F,SCW
AJMER,KEKRI,GORDHA,SC,LAKMA,M,SC
AJMER,KEKRI,GULGAON,GEN,SATYA PRESAN SINGH,M,GEN
AJMER,KEKRI,JUNIY A,OBC,INDRA NARAYAN,M,OBC
AJMER,KEKRI,KADERA,GENW,KASALIYA DEVI,F,GENW
AJMER,KEKRI,KALERA KANWARJI,GENW,INDR KANWAR,F,GENW
AJMER,KEKRI,KALERA KRISHNA GOPAL,GEN,AMBIKA CHARAN,M,GEN
AJMER,KEKRI,KANOJ,OBCW,HAGAMI,F,OBCW
AJMER,KEKRI,KHAWAS,GEN,DARMI CHAND,M,GEN
AJMER,KEKRI,KUSHAYATA,STW,BALI,F,STW
AJMER,KEKRI,LASADIYA,OBC,BADRI,M,OBC
AJMER,KEKRI,MEHROONKALAN,SC,KALU,M,SC
AJMER,KEKRI,MEWDAKALAN,GENW,HEMLATA,F,GENW
AJMER,KEKRI,MOLKIYA,GENW,RAMPYARI,F,OBCW
AJMER,KEKRI,NAPAKHERA/ GIRWARPURA,OBCW,RENUKA DEVI,F,OBCW
AJMER,KEKRI,P ARA,GEN,ASHARAM,M,OBC
AJMER,KEKRI,PEEPLAJ,SCW,SANTOSH,F,SCW
AJMER,KEKRI,PRANHEDA,GENW,INDRA,F,GENW
AJMER,KEKRI,SADARA,STW,SAYARI DEVI,F,STW
AJMER,KEKRI,SALARI,GENW,SOHANI,F,OBCW
AJMER,KEKRI,SARSADI,ST,BHURALAL,M,ST
AJMER,KEKRI,SAWAR,GEN,Pushpendra SINGH,M,GEN
AJMER,KEKRI,TANKAWAS,SCW,SANJA DEVI,F,SCW
AJMER,KISHANGARH,AMARPURA,GENW,Gulab kanwar,F,GENW
AJMER,KISHANGARH,BANDARSINDRI,GEN,Raghunath,M,OBC
AJMER,KISHANGARH,BARNA,OBC,Govind singh,M,OBC
AJMER,KISHANGARH,BHADUN,GENW,Kiran kanwar,F,GENW
AJMER,KISHANGARH,BUHARU,OBC,radhu Khan,M,OBC
AJMER,KISHANGARH,DEEDW ARA,SC,Hanuman,M,SC
AJMER,KISHANGARH,HARMADA,SCW,Naurati,F,SCW
AJMER,KISHANGARH,JAJOTA,OBC,Moola,M,OBC
AJMER,KISHANGARH,KADHA,SC,Ugma ram,M,SC
AJMER,KISHANGARH,KARKERI,SCW,Chhagndi,F,SCW
AJMER,KISHANGARH,KHATOLI,GEN,Jasbeer Singh,M,GEN
AJMER,KISHANGARH,KOTDI,GENW,Santosh,F,OBCW
AJMER,KISHANGARH,KUCHEEL,GENW,radha,F,OBCW
AJMER,KISHANGARH,MALIYON KI BARI,GENW,Seeta Dewi,F,OBCW
AJMER,KISHANGARH,NALOO,GENW,Shaguni,F,OBCW
AJMER,KISHANGARH,NOSAL,GEN,Ranjeet Singh,M,GEN
AJMER,KISHANGARH,NWAN,GEN,Ramkaran,M,OBC
AJMER,KISHANGARH,PANER,OBC,bHANWAR lAL,M,OBC
AJMER,KISHANGARH,PATAN,GEN,tEJ sINGH,M,GEN
AJMER,KISHANGARH,PEENGLOD,SC,Ganga Ram,M,SC
AJMER,KISHANGARH,RALAWATA,GENW,Manju Kanwar,F,GENW
AJMER,KISHANGARH,ROOPANGARH,GENW,Shobha,F,GENW
AJMER,KISHANGARH,SALEMABAD,OBCW,Barjee,F,OBCW
AJMER,KISHANGARH,SARGAON,GEN,Govind Singh,M,GEN
AJMER,KISHANGARH,SILORA,GEN,Jitender Singh,M,GEN
AJMER,KISHANGARH,SINODIY A,OBCW,Mannudi Devi,F,OBCW
AJMER,KISHANGARH,SURSURA,GENW,Yogita,F,GENW
AJMER,KISHANGARH,THAL,GEN,Nanad lal,M,OBC
AJMER,KISHANGARH,TIKAWADA,OBCW,Meena Dewi,F,OBCW
AJMER,KISHANGARH,TILONIYA,SCW,KAmla Dewi,F,SCW
AJMER,KISHANGARH,TYOD,GEN,virender Singh,M,GEN
AJMER,MASUDA,ANDHERI DEVRI,GEN,Jagdish Singh,M,OBC
AJMER,MASUDA,BADI,SCW,Ganga devi,F,SCW
AJMER,MASUDA,BARAL -II,GENW,rekha jain,F,GENW
AJMER,MASUDA,BEGLIY ABAS,GENW,Meera rawat,F,OBCW
AJMER,MASUDA,DAULATPURA - I,GEN,ramkaran,M,OBC
AJMER,MASUDA,DAULATPURA - II,GEN,lala,M,OBC
AJMER,MASUDA,DEVMALI,GENW,Bhagi,F,OBCW
AJMER,MASUDA,DEWAS,GEN,Bhanwar Singh,M,OBC
AJMER,MASUDA,DHOLADANTA,GEN,Mangilal,M,OBC
AJMER,MASUDA,HANUTIYA,GENW,Kunni,F,OBCW
AJMER,MASUDA,HARRAJPURA,GEN,Ashraf kathat,M,OBC
AJMER,MASUDA,JALIYA - II,SC,Panna lal,M,SC
AJMER,MASUDA,JAMOLA,GEN,Narender Vikaram Singh,M,GEN
AJMER,MASUDA,JEEW ANA,GENW,kanija,F,GENW
AJMER,MASUDA,JHAK,OBC,Mohan,M,OBC
AJMER,MASUDA,KANAKHERA,GENW,Sarla,F,OBCW
AJMER,MASUDA,KHARWA,GENW,manju jain,F,GENW
AJMER,MASUDA,KIRAP,GEN,Mool Kanwar,F,GENW
AJMER,MASUDA,LODIYANA,OBCW,Gajju kanwar,F,OBCW
AJMER,MASUDA,LOOLWA,GENW,Bhawari,F,OBCW
AJMER,MASUDA,MASUDA,OBC,Jagdish Jat,M,OBC
AJMER,MASUDA,MAYLA,SC,Chhothu Lal,M,SC
AJMER,MASUDA,MOYANA,OBCW,manju sain,F,OBCW
AJMER,MASUDA,NANDW ADA,GEN,Kamla Kanwar,F,OBCW
AJMER,MASUDA,PEEPLAJ,OBCW,Kamla kanwar,F,OBCW
AJMER,MASUDA,RAMGARH,ST,Bhawar lal Bhil,F,STW
AJMER,MASUDA,SATAWADIYA,OBC,Mangilal,M,OBC
AJMER,MASUDA,SATHANA,SCW,Bhawari Dewi,F,SCW
AJMER,MASUDA,SHERGARH,OBC,Ramnath,M,OBC
AJMER,MASUDA,SHIKHRANI,GEN,Dinesh,M,GEN
AJMER,MASUDA,SHYAMGARH,GENW,Pankaj kanwar,F,OBCW
AJMER,PEESANGAN,BAGHSURI,GEN,Devendra Singh Gurjar,M,OBC
AJMER,PEESANGAN,BHAGW ANPURA,GEN,Rames Singh,M,OBC
AJMER,PEESANGAN,BHANWTA,OBC,Ghasi Ram,M,OBC
AJMER,PEESANGAN,BHATIYANI,GEN,Kailash Chand,M,GEN
AJMER,PEESANGAN,BHATSURI,GEN,Baldev Gurjar,M,GEN
AJMER,PEESANGAN,BHAW ANIKHERA,GENW,Nani Devi,F,OBCW
AJMER,PEESANGAN,BIDKCHIYAWAS,OBCW,Santosh,F,OBCW
AJMER,PEESANGAN,BITHUR,GEN,Beera Khan,M,OBC
AJMER,PEESANGAN,BUDHW ARA,GENW,lali,F,OBCW
AJMER,PEESANGAN,DANT ADA,GENW,Pushpa Devi Sharma,F,GENW
AJMER,PEESANGAN,DERATHU,GEN,Sheitan,M,OBC
AJMER,PEESANGAN,DEVNAGAR,GENW,Mitlesh Sharma,F,GENW
AJMER,PEESANGAN,DODIYANA,GENW,Baburi,F,OBCW
AJMER,PEESANGAN,DUMARA,OBCW,Rukma,F,OBCW
AJMER,PEESANGAN,GANAHERA,OBCW,Bidami,F,OBCW
AJMER,PEESANGAN,GOL A,OBCW,Manju,F,OBCW
AJMER,PEESANGAN,GOVINDGARH,SC,Chotmal,M,SC
AJMER,PEESANGAN,HATUNDI,GENW,Sayeeda,F,OBCW
AJMER,PEESANGAN,JETHANA,GENW,Nirmala Chera,F,GENW
AJMER,PEESANGAN,JHADW ASA,GEN,Devkaran Gurjar,M,OBC
AJMER,PEESANGAN,KADEIL,GENW,Sampat Kanwar,F,GENW
AJMER,PEESANGAN,KALESARA,GEN,Rajveer singh,M,OBC
AJMER,PEESANGAN,KARNOS,GEN,Moti Lal,M,OBC
AJMER,PEESANGAN,KESARPURA,SCW,Kamla,F,SCW
AJMER,PEESANGAN,KHORI,GEN,Pratap,M,OBC
AJMER,PEESANGAN,LAMANA,GENW,gomi,F,OBCW
AJMER,PEESANGAN,LEEDI,SC,Mishri Lal,M,SC
AJMER,PEESANGAN,MAKRERA,OBC,Shiv Raj,M,OBC
AJMER,PEESANGAN,MANGLIYAWAS,OBC,Chagan Lal,M,OBC
AJMER,PEESANGAN,MIY ANPUR,GEN,Kamla,F,OBCW
AJMER,PEESANGAN,NAGELAV,GENW,Khurshida Bano,F,GENW
AJMER,PEESANGAN,NAND,GENW,Kumkum Kanwar,F,GENW
AJMER,PEESANGAN,NANDLA,GENW,Kanchan,F,OBCW
AJMER,PEESANGAN,NYARA,OBC,Shri Kishan,M,OBC
AJMER,PEESANGAN,PAGARA,SCW,Shugani,F,SCW
AJMER,PEESANGAN,PEESANGAN,SCW,Lajwanti,F,SCW
AJMER,PEESANGAN,PICHOLIY A,GENW,Kamla Choudhary,F,OBCW
AJMER,PEESANGAN,RAJGARH,GEN,Hari Nivas,M,GEN
AJMER,PEESANGAN,RAJOSI,GEN,Mastan Khan,M,OBC
AJMER,PEESANGAN,RAMPURA DABLA,OBC,Chena Ram,M,OBC
AJMER,PEESANGAN,SARADHANA,GEN,Mukesh,M,SC
AJMER,PEESANGAN,TILORA,SC,Poona,M,SC
AJMER,SRINAGAR,AJAYSAR,GEN,Bhanwar Singh,M,OBC
AJMER,SRINAGAR,ARADKA,GENW,Rashisa Khatoon,F,GENW
AJMER,SRINAGAR,BABA Y ACHA,GEN,Natwar Singh,M,GEN
AJMER,SRINAGAR,BADLYA,GEN,Mangal Singh,M,OBC
AJMER,SRINAGAR,BEER,GENW,Nani,F,OBCW
AJMER,SRINAGAR,BHUDOL,GEN,Arjun Nath,M,OBC
AJMER,SRINAGAR,BUBANI,OBC,Gopal singh,M,OBC
AJMER,SRINAGAR,CHACHIYAWAS,GENW,Laxmi,F,OBCW
AJMER,SRINAGAR,DANTA,OBCW,Indra,F,OBCW
AJMER,SRINAGAR,DHAL,GENW,Suwa,F,OBCW
AJMER,SRINAGAR,DILWARA,GENW,Mangi,F,OBCW
AJMER,SRINAGAR,GAGW ANA,GEN,Aslam Khan,M,GEN
AJMER,SRINAGAR,GEGAL,GEN,Abdul Jalil,M,GEN
AJMER,SRINAGAR,GODIYAWAS,OBC,Beeram Singh,M,OBC
AJMER,SRINAGAR,KANAKHERI,GENW,Meera,F,OBCW
AJMER,SRINAGAR,KANPURA,SC,Jagdish,M,SC
AJMER,SRINAGAR,KA Y AMPURA,OBCW,Choti,F,OBCW
AJMER,SRINAGAR,LAVERA,SCW,Tara Devi,F,SCW
AJMER,SRINAGAR,LOHARW ARA,GENW,Keshar,F,OBCW
AJMER,SRINAGAR,MAWASHIYA,GENW,Ramti,F,OBCW
AJMER,SRINAGAR,NARW AR,OBC,Ratan Lal,M,OBC
AJMER,SRINAGAR,P ALRA,GEN,Suwa Singh,M,OBC
AJMER,SRINAGAR,PHARKIYA,GENW,Choti,F,OBCW
AJMER,SRINAGAR,RAMNER DHANI,OBCW,Jitu Devi,F,OBCW
AJMER,SRINAGAR,RAMSAR,GENW,Anita Mali,F,OBCW
AJMER,SRINAGAR,SAMPRODA,SCW,Prem,F,SCW
AJMER,SRINAGAR,SANOD,GEN,Sheo Karan,M,OBC
AJMER,SRINAGAR,SRINAGAR,OBC,Ram Karan,M,OBC
AJMER,SRINAGAR,TIHARI,SC,Laxmi Narayan,M,SC
AJMER,SRINAGAR,TILANA,GEN,Hemraj,M,OBC
AJMER,SRINAGAR,UNTADA,GEN,Manwar,M,GEN
ALWAR,BANSUR,ALAMPURA,GENW,KALLI DEVI,F,OBCW
ALWAR,BANSUR,BABEDI,SC,PURAN CHAND,M,SC
ALWAR,BANSUR,BALAW AS,OBCW,GEETA DEVI,F,OBCW
ALWAR,BANSUR,BAMANW AS,GEN,CHANDIYA,M,OBC
ALWAR,BANSUR,BANSUR,SC,MOHAN LAL,M,SC
ALWAR,BANSUR,BASDAYAL,SC,SANTOSH KUMAR,M,SC
ALWAR,BANSUR,BAWARIA,GENW,SUMITRA,F,GENW
ALWAR,BANSUR,BHAGGU KA BAS,GENW,JADAW ALI,F,OBCW
ALWAR,BANSUR,BHUPSEDA,OBCW,SHANTI DEVI,F,OBCW
ALWAR,BANSUR,BHUTERI,OBC,DHARMPAL,M,OBC
ALWAR,BANSUR,BILALI,GENW,DURGA DEVI,F,OBCW
ALWAR,BANSUR,CHATERPURA,GENW,TIJA DEVI,F,OBCW
ALWAR,BANSUR,CHHIND,GENW,SANITA DEVI,F,OBCW
ALWAR,BANSUR,CHUL A,GENW,BADAMI DEVI,F,OBCW
ALWAR,BANSUR,DEVSAN,GEN,MADA RAM,M,OBC
ALWAR,BANSUR,GIRUDI,GEN,SHY AMSUNDER,M,OBC
ALWAR,BANSUR,GUNT A,OBCW,SUNIT A,F,OBCW
ALWAR,BANSUR,GYANPURA,OBC,RAMOT AR,M,OBC
ALWAR,BANSUR,HAMIRPUR,GEN,KANHAIYA LAL DAGA,M,GEN
ALWAR,BANSUR,HARSAURA,OBC,RAMESH CHAND GUJAR,M,OBC
ALWAR,BANSUR,HAZIPUR,GEN,RAJENDRA SINGH,M,GEN
ALWAR,BANSUR,HOLABAS,SCW,SAROJ,F,SCW
ALWAR,BANSUR,KHEDA,GENW,SHRADDHA DEVI,F,GENW
ALWAR,BANSUR,KOHARI,SCW,KABOOLI DEVI,F,SCW
ALWAR,BANSUR,LAKEDI,GEN,MOHAR SINGH,M,OBC
ALWAR,BANSUR,LOYATI,STW,SURJI DEVI,F,STW
ALWAR,BANSUR,MAJRA AHIR,OBCW,BABLI,F,OBCW
ALWAR,BANSUR,MEHANPUR,GEN,BASANT A,M,OBC
ALWAR,BANSUR,MOTHUKA,SCW,MANJU DEVI,F,SCW
ALWAR,BANSUR,NANGAL LAKHA,GENW,GYARSI,F,OBCW
ALWAR,BANSUR,NA Y ABAS,OBC,BANWARI SINGH,M,OBC
ALWAR,BANSUR,NIMUCHANA,GEN,RAKESH KUMAR GUJAR,M,OBC
ALWAR,BANSUR,RAMPUR,ST,RAMAVTAR,M,ST
ALWAR,BANSUR,RATANPURA URF KARANA,GEN,GAJANAND,M,GEN
ALWAR,BANSUR,SHAHPUR,GEN,BANW ARI,M,OBC
ALWAR,BANSUR,SHY AMPURA,GENW,BEENA DEVI,F,GENW
ALWAR,BEHROR,ANANTPURA,OBC,ANIL KUMAR,M,OBC
ALWAR,BEHROR,BAROD,GENW,RAMA BHARDWAJ,F,GENW
ALWAR,BEHROR,BASAI,GEN,JAGRUP SINGH,M,GEN
ALWAR,BEHROR,BHAGWADI KHURD,SCW,KITAB DEVI,F,SCW
ALWAR,BEHROR,BUDHW AL,OBCW,ANITA DEVI,F,OBCW
ALWAR,BEHROR,DHUNDHARIA,GEN,ASHOK KUMAR YADAV,M,OBC
ALWAR,BEHROR,GADOJ,GEN,PATRAM YADAV,M,OBC
ALWAR,BEHROR,GANDALA,GENW,DAYAWATI DEVI,F,OBCW
ALWAR,BEHROR,GUNTI,OBC,DAYARAM YADAV,M,OBC
ALWAR,BEHROR,GURJARVAS,OBC,RAMRATAN,M,OBC
ALWAR,BEHROR,HAMIDPUR,GENW,SUMAN DEVI,F,OBCW
ALWAR,BEHROR,JAGUVAS,GEN,GEETA CHAUDHARY,F,OBCW
ALWAR,BEHROR,JAKHRANAKALAN,GENW,NIRMALA KUMARI,F,OBCW
ALWAR,BEHROR,JANPURBAS,SC,SAVITRI DEVI,F,SCW
ALWAR,BEHROR,JATGAVEDA,GENW,VIJAY LAXMI DEVI,F,OBCW
ALWAR,BEHROR,KAKARDOP A,GENW,KAMLA DEVI,F,OBCW
ALWAR,BEHROR,KARODA,GENW,CHALTI DEVI,F,OBCW
ALWAR,BEHROR,KHOHER,GEN,PURUSHOTTAM SINGA,M,GEN
ALWAR,BEHROR,KOHARI,SC,BHERU RAM,M,SC
ALWAR,BEHROR,KOHRANA,GEN,MAAMAN CHAND,M,OBC
ALWAR,BEHROR,MAHARAJAVAS,SCW,SUMAN DEVI,F,SCW
ALWAR,BEHROR,MANCHAL,OBCW,PUSHPA DEVI,F,OBCW
ALWAR,BEHROR,MOHAMMEDPUR,GEN,SAWAT RAM,M,OBC
ALWAR,BEHROR,NANGAL KHODIYA,OBCW,SARBATI DEVI,F,OBCW
ALWAR,BEHROR,PAHADI,GENW,HANSA DEVI,F,OBCW
ALWAR,BEHROR,RAMSINGHPURA,GEN,JASHWANT SINGH,M,OBC
ALWAR,BEHROR,RIW ALI,GEN,NARESH CHAND,M,OBC
ALWAR,BEHROR,SHEHPUR,GENW,SAROJ DEVI,F,OBCW
ALWAR,BEHROR,TASING,GEN,PATEL YADAV,M,OBC
ALWAR,KATHUMAR,ADOLI,SCW,BATTO DEVI,F,SCW
ALWAR,KATHUMAR,ARURW A,GEN,SUBHASH CHAND,M,GEN
ALWAR,KATHUMAR,BADODAKAN,SCW,BHAGW ANI,F,SCW
ALWAR,KATHUMAR,BASETH,ST,SONNYA RAM,M,ST
ALWAR,KATHUMAR,BEHRAMPUR,OBC,PHOOL CHAND,M,OBC
ALWAR,KATHUMAR,BEHTUKALA,STW,KISTURI,F,STW
ALWAR,KATHUMAR,BHANOKHER,OBCW,PARMAL,F,OBCW
ALWAR,KATHUMAR,DANTIYA,ST,KANCHAN RAM MEENA,M,ST
ALWAR,KATHUMAR,DARODA,GENW,PRATIMA,F,GENW
ALWAR,KATHUMAR,DOROLI,SC,NATTHI RAM,M,SC
ALWAR,KATHUMAR,GARO,GENW,HARDAI,F,OBCW
ALWAR,KATHUMAR,ISROT A,GEN,PRAKASH CHAND,M,GEN
ALWAR,KATHUMAR,JADLA,GEN,HARVEER YADAV,M,OBC
ALWAR,KATHUMAR,JAHADU,GENW,DHAPLI,F,OBCW
ALWAR,KATHUMAR,JATWADA,SC,TOFALI DEVI,F,SCW
ALWAR,KATHUMAR,KALWADI,SC,PURYA,M,SC
ALWAR,KATHUMAR,KATHUMAR,GEN,KISHAN LAL,M,GEN
ALWAR,KATHUMAR,KHEDA KALYANPURA,SCW,SUSHILA DEVI,F,SCW
ALWAR,KATHUMAR,KHEDAMEDA,GENW,RAMBAI,F,GENW
ALWAR,KATHUMAR,KHEDLIRAIL,OBC,UTTAM,M,OBC
ALWAR,KATHUMAR,KHOH,OBCW,BHOTI DEVI,F,OBCW
ALWAR,KATHUMAR,KHONKHER,GEN,DURAJAN SINGH,M,GEN
ALWAR,KATHUMAR,MAINTHANA,SCW,KAMPURI,F,SCW
ALWAR,KATHUMAR,MATHURAHEDA,GENW,BHAGWATI,F,GENW
ALWAR,KATHUMAR,MESARI,GENW,KAMLESH DEVI,F,GENW
ALWAR,KATHUMAR,NAHERKHORA,GEN,MANGATU RAM,M,OBC
ALWAR,KATHUMAR,NATOJ,GENW,SMT. KAILASHI DEVI,F,GENW
ALWAR,KATHUMAR,NURPUR,GEN,CHAJJU SINGH,M,GEN
ALWAR,KATHUMAR,RET A,GENW,SMT. INDER,F,OBCW
ALWAR,KATHUMAR,RONIJATHAN,GENW,RATTI,F,OBCW
ALWAR,KATHUMAR,SAHARI,ST,MANGAL,M,ST
ALWAR,KATHUMAR,SALWADI,GEN,BHUPENDRA SINGH,M,GEN
ALWAR,KATHUMAR,SAMUCHI,GEN,BHARAT LAL SHARMA,M,GEN
