District,PanchayatSamiti,NameOfGramPanchyat,CategoryOfGramPanchyat
JODHPUR,AAU,Gorchiya Ka Bera,General
JODHPUR,AAU,Govindnagar,SC (Woman)
JODHPUR,AAU,Hajisagar,OBC
JODHPUR,AAU,Indo Ka Bass,General
JODHPUR,AAU,Kerala,General (Woman)
JODHPUR,AAU,Kharia,OBC
JODHPUR,AAU,Moriya,General (Woman)
JODHPUR,AAU,Munjasar,OBC (Woman)
JODHPUR,AAU,Palina,General (Woman)
JODHPUR,AAU,Riddamsar,General
JODHPUR,AAU,Saranpura,General (Woman)
JODHPUR,AAU,Shri Krishna Nagar,General (Woman)
JODHPUR,AAU,Shri Laxmannagar,General
JODHPUR,AAU,Chadi,General
JODHPUR,AAU,Seoul city,SC (Woman)
JODHPUR,AAU,Suvap,ST
JODHPUR,AAU,Udaynagar,General
SIROHI,ABUROAD,AMTHALA,ST
SIROHI,ABUROAD,AVAL,ST (Woman)
SIROHI,ABUROAD,BAHADURPURA,ST (Woman)
SIROHI,ABUROAD,Bhesasingh,ST
SIROHI,ABUROAD,CHANAR,ST (Woman)
SIROHI,ABUROAD,CHANDELA,ST (Woman)
SIROHI,ABUROAD,DELDAR,ST
SIROHI,ABUROAD,Dhamsara,ST
SIROHI,ABUROAD,DOYTARA,ST
SIROHI,ABUROAD,Ganka,ST
SIROHI,ABUROAD,GIRVAR,ST (Woman)
SIROHI,ABUROAD,JAMBUDI,ST (Woman)
SIROHI,ABUROAD,JAYADARA,ST
SIROHI,ABUROAD,KHADAT,ST
SIROHI,ABUROAD,KIVARLI,ST
SIROHI,ABUROAD,KYARIYA,ST (Woman)
SIROHI,ABUROAD,Madurala,ST
SIROHI,ABUROAD,MAVAL,ST (Woman)
SIROHI,ABUROAD,MOONGTHALA,ST
SIROHI,ABUROAD,MORTHALA,ST (Woman)
SIROHI,ABUROAD,NICHALAGARH,ST (Woman)
SIROHI,ABUROAD,ORE,ST (Woman)
SIROHI,ABUROAD,ORIYA,ST (Woman)
SIROHI,ABUROAD,Paba,ST
SIROHI,ABUROAD,SANTPUR,ST (Woman)
SIROHI,ABUROAD,SIYAVA,ST
SIROHI,ABUROAD,SURPAGLA,ST (Woman)
SIROHI,ABUROAD,Tleti,ST
SIROHI,ABUROAD,UMRANI,ST (Woman)
SIROHI,ABUROAD,UPALA KHEJARA,ST (Woman)
SIROHI,ABUROAD,UPALAGARH,ST
SIROHI,ABUROAD,Wasda,ST
JALORE,AHORE,AGVERI,General (Woman)
JALORE,AHORE,AHORE,OBC
JALORE,AHORE,AIPURA,ST (Woman)
JALORE,AHORE,AJITPURA,General (Woman)
JALORE,AHORE,BALA,ST
JALORE,AHORE,BANKLI,OBC (Woman)
JALORE,AHORE,BAVDI,SC (Woman)
JALORE,AHORE,BHADRAJUN,General
JALORE,AHORE,BHAISVADA,SC
JALORE,AHORE,BHAVRANI,OBC
JALORE,AHORE,BHORDA,OBC (Woman)
JALORE,AHORE,BHUTI,General
JALORE,AHORE,BITHUDA,General
JALORE,AHORE,CHANDRAI,ST (Woman)
JALORE,AHORE,CHAVRECHA,General
JALORE,AHORE,CHERLI,SC
JALORE,AHORE,CHUNDA,General (Woman)
JALORE,AHORE,DAYALPURA,General (Woman)
JALORE,AHORE,DODIYALI,OBC
JALORE,AHORE,GHANANA,ST
JALORE,AHORE,GUDA BALOTAN,SC
JALORE,AHORE,HARJI,SC (Woman)
JALORE,AHORE,KAMBA,SC (Woman)
JALORE,AHORE,KANVLA,General
JALORE,AHORE,KAVRADA,ST
JALORE,AHORE,NIMBLA,SC
JALORE,AHORE,NORVA,SC
JALORE,AHORE,NOSERA,General
JALORE,AHORE,PADERLI,General (Woman)
JALORE,AHORE,PANCHOTA,General (Woman)
JALORE,AHORE,PAVTA,General
JALORE,AHORE,RAITHAL,General (Woman)
JALORE,AHORE,RAMA,General (Woman)
JALORE,AHORE,RODLA,General
JALORE,AHORE,SEDRIYA BALOTAN,General
JALORE,AHORE,SHANKHVALI,General (Woman)
JALORE,AHORE,SUGALIYA JODHA,OBC (Woman)
JALORE,AHORE,THANVLA,General (Woman)
JALORE,AHORE,UMMEDPUR,General (Woman)
JALORE,AHORE,VEDIYA,SC (Woman)
JALORE,AHORE,VELDRA,General
SIKAR,AJITGARH,Ajitgarh,General (Woman)
SIKAR,AJITGARH,Aspura,General (Woman)
SIKAR,AJITGARH,Burqa ki dhani,General
SIKAR,AJITGARH,Chiplata,OBC
SIKAR,AJITGARH,Deepawas,OBC (Woman)
SIKAR,AJITGARH,Divrala,General
SIKAR,AJITGARH,Garh Taknet,SC
SIKAR,AJITGARH,Hardas Ka Bas,General (Woman)
SIKAR,AJITGARH,HathiDeh,SC (Woman)
SIKAR,AJITGARH,Hathora,SC (Woman)
SIKAR,AJITGARH,Jugalpura,ST (Woman)
SIKAR,AJITGARH,Jugrajpura,General
SIKAR,AJITGARH,Karakada,General (Woman)
SIKAR,AJITGARH,Khatkad,ST
SIKAR,AJITGARH,Kishorpura,General (Woman)
SIKAR,AJITGARH,Mokalwas,General
SIKAR,AJITGARH,Pithalpur,General (Woman)
SIKAR,AJITGARH,Raipur Jagir,OBC (Woman)
SIKAR,AJITGARH,Sakrai,SC
SIKAR,AJITGARH,Sanwalpura Tandaran,General
SIKAR,AJITGARH,Sihori,OBC
SIKAR,AJITGARH,Tatera,OBC
SIKAR,AJITGARH,Toda,General (Woman)
AJMER,AJMER RURAL,Dourai,OBC (Woman)
AJMER,AJMER RURAL,Ghughra,OBC (Woman)
AJMER,AJMER RURAL,Hathikheda,General
AJMER,AJMER RURAL,Kayad,OBC (Woman)
AJMER,AJMER RURAL,Makadwali,General (Woman)
AJMER,AJMER RURAL,Narelli,General
AJMER,AJMER RURAL,Sendaria,General
AJMER,AJMER RURAL,Somalpur,SC
AJMER,AJMER RURAL,Tabiji,General
AJMER,AJMER RURAL,Ajyasar,General (Woman)
AJMER,AJMER RURAL,Ardka,General (Woman)
AJMER,AJMER RURAL,Babaycha,General
AJMER,AJMER RURAL,Badlya,General
AJMER,AJMER RURAL,Banselli,SC
AJMER,AJMER RURAL,Beer,General (Woman)
AJMER,AJMER RURAL,Bhawata,OBC
AJMER,AJMER RURAL,Bhudol,General (Woman)
AJMER,AJMER RURAL,Bubani,SC (Woman)
AJMER,AJMER RURAL,Chachiyawas,General (Woman)
AJMER,AJMER RURAL,Danta,General
AJMER,AJMER RURAL,Devnagar,General (Woman)
AJMER,AJMER RURAL,Dumada,General
AJMER,AJMER RURAL,Gagwana,General (Woman)
AJMER,AJMER RURAL,Ganaheda,General (Woman)
AJMER,AJMER RURAL,Gegel,General
AJMER,AJMER RURAL,Godiawas,SC (Woman)
AJMER,AJMER RURAL,Hatundi,SC (Woman)
AJMER,AJMER RURAL,Kansas,General (Woman)
AJMER,AJMER RURAL,Kayampura,General (Woman)
AJMER,AJMER RURAL,Mayapur,General
AJMER,AJMER RURAL,Nand,General
AJMER,AJMER RURAL,Narwar,General
AJMER,AJMER RURAL,Palra,General (Woman)
AJMER,AJMER RURAL,Ramneradhani,OBC
AJMER,AJMER RURAL,Rasulpura,SC
AJMER,AJMER RURAL,Saradhana,OBC
AJMER,AJMER RURAL,SARANA,OBC
AJMER,AJMER RURAL,Tilora,OBC
AJMER,AJMER RURAL,Utda,General (Woman)
AJMER,AJMER RURAL,Kandail,General
AJMER,AJMER RURAL,Khori,OBC (Woman)
JHALAWAR,AKALERA,AMETHA,General
JHALAWAR,AKALERA,AMRITKHEDI,General (Woman)
JHALAWAR,AKALERA,ASALPUR,General (Woman)
JHALAWAR,AKALERA,BAREKHEDI GUJRAN,ST (Woman)
JHALAWAR,AKALERA,BASKHEDI LODHAN,General
JHALAWAR,AKALERA,BERAGARH,General
JHALAWAR,AKALERA,BHALTA,General
JHALAWAR,AKALERA,BINDAKHEDA,ST (Woman)
JHALAWAR,AKALERA,BORBAND,General (Woman)
JHALAWAR,AKALERA,CHURALIYA,OBC
JHALAWAR,AKALERA,DEVI CHANCHAL,ST
JHALAWAR,AKALERA,DEVLI,ST
JHALAWAR,AKALERA,DEVLIKALAN,General
JHALAWAR,AKALERA,GAHUKHEDI,General
JHALAWAR,AKALERA,GHATOLI,General (Woman)
JHALAWAR,AKALERA,GOPALPURA,ST (Woman)
JHALAWAR,AKALERA,GULKHEDI,ST
JHALAWAR,AKALERA,KHARPA,SC (Woman)
JHALAWAR,AKALERA,KOHDIJHAR,ST
JHALAWAR,AKALERA,LASUDIYA SHAH,ST (Woman)
JHALAWAR,AKALERA,LHAS,General (Woman)
JHALAWAR,AKALERA,METHUN,General (Woman)
JHALAWAR,AKALERA,MISHROLI,SC
JHALAWAR,AKALERA,NAYAPURA,ST
JHALAWAR,AKALERA,PACHOLA,SC (Woman)
JHALAWAR,AKALERA,SERDA,SC
JHALAWAR,AKALERA,SERKHADINDYA,General
JHALAWAR,AKALERA,THADOL,General (Woman)
JHALAWAR,AKALERA,THNAVAD,ST (Woman)
JHALAWAR,AKALERA,TURKADIYA,General (Woman)
JHALAWAR,AKALERA,UMRIYA,General
JHUNJHUNU,ALSISAR,ALSISAR,General
JHUNJHUNU,ALSISAR,BADET,SC (Woman)
JHUNJHUNU,ALSISAR,BAJLA,General (Woman)
JHUNJHUNU,ALSISAR,BHUDA KA BAS,General
JHUNJHUNU,ALSISAR,CHANDWA,SC
JHUNJHUNU,ALSISAR,CHURELA,General (Woman)
JHUNJHUNU,ALSISAR,DABRI DHEERSINGH,OBC (Woman)
JHUNJHUNU,ALSISAR,DHANURI,OBC (Woman)
JHUNJHUNU,ALSISAR,DHEELSAR,OBC
JHUNJHUNU,ALSISAR,GANGIYASAR,OBC (Woman)
JHUNJHUNU,ALSISAR,GOKHRI,General (Woman)
JHUNJHUNU,ALSISAR,HAMEERI KALAN,General
JHUNJHUNU,ALSISAR,HANSASAR,General (Woman)
JHUNJHUNU,ALSISAR,HANSASARI,SC
JHUNJHUNU,ALSISAR,HARIPURA,General (Woman)
JHUNJHUNU,ALSISAR,JABASAR,General
JHUNJHUNU,ALSISAR,JHATAWA KHURD,OBC
JHUNJHUNU,ALSISAR,KAKREU KALAN,General
JHUNJHUNU,ALSISAR,KALIYASAR,SC (Woman)
JHUNJHUNU,ALSISAR,KANT,General (Woman)
JHUNJHUNU,ALSISAR,KODESAR,General
JHUNJHUNU,ALSISAR,KOLINDA,General (Woman)
JHUNJHUNU,ALSISAR,LADUSAR,SC
JHUNJHUNU,ALSISAR,LOONA,General (Woman)
JHUNJHUNU,ALSISAR,LOOTU,ST (Woman)
JHUNJHUNU,ALSISAR,MALSISAR,OBC
JHUNJHUNU,ALSISAR,NAAND,SC
JHUNJHUNU,ALSISAR,NIRADHANU,General
JHUNJHUNU,ALSISAR,PEETHUSAR,SC (Woman)
JHUNJHUNU,ALSISAR,RAMPURA,OBC
JHUNJHUNU,ALSISAR,SONASAR,General
JHUNJHUNU,ALSISAR,TAMKOR,General (Woman)
JAIPUR,AMBER,ACHROL,General (Woman)
JAIPUR,AMBER,Akaida Dungur,ST
JAIPUR,AMBER,AKHAIPURA,General
JAIPUR,AMBER,BAGWADA,SC (Woman)
JAIPUR,AMBER,BILOCHI,General
JAIPUR,AMBER,BILPUR,General
JAIPUR,AMBER,CHANDWAJI,SC
JAIPUR,AMBER,CHHAPARDI,ST
JAIPUR,AMBER,CHITANU KALAN,General (Woman)
JAIPUR,AMBER,CHONP,General
JAIPUR,AMBER,Dev Ka Harvada,ST (Woman)
JAIPUR,AMBER,DHAND,General (Woman)
JAIPUR,AMBER,DOLATPURA KOTADA,OBC (Woman)
JAIPUR,AMBER,Ghatwada,ST (Woman)
JAIPUR,AMBER,KANT,General
JAIPUR,AMBER,KANWARPURA,General
JAIPUR,AMBER,KHORA MEENA,OBC
JAIPUR,AMBER,KUKAS,ST
JAIPUR,AMBER,LABANA,General (Woman)
JAIPUR,AMBER,LAKHER,General
JAIPUR,AMBER,MANPURA MACHEDI,General (Woman)
JAIPUR,AMBER,NANGAL SUSAWATAN,ST (Woman)
JAIPUR,AMBER,RUNDAL,General (Woman)
JAIPUR,AMBER,SHYAMPURA,SC (Woman)
JAIPUR,AMBER,SIROHI,SC
RAJSAMAND,AMET,AAGARIYA,ST (Woman)
RAJSAMAND,AMET,AAIDANA,SC
RAJSAMAND,AMET,BIKAWAS,General (Woman)
RAJSAMAND,AMET,DOOWARA,General
RAJSAMAND,AMET,GALWA,General (Woman)
RAJSAMAND,AMET,GHOSUNDI,General
RAJSAMAND,AMET,GOWAL,General (Woman)
RAJSAMAND,AMET,JAITPURA,SC (Woman)
RAJSAMAND,AMET,JHOOR,General (Woman)
RAJSAMAND,AMET,JILOLA,General
RAJSAMAND,AMET,KHAKHARMALA,OBC
RAJSAMAND,AMET,LEEKI,OBC (Woman)
RAJSAMAND,AMET,LODHIYANA,SC
RAJSAMAND,AMET,OLANAKHERA,OBC
RAJSAMAND,AMET,PANOTIYA,General (Woman)
RAJSAMAND,AMET,RACHHETI,OBC (Woman)
RAJSAMAND,AMET,SAKARADA,General (Woman)
RAJSAMAND,AMET,SARDARGARH,General
RAJSAMAND,AMET,SELAGURHA,General
RAJSAMAND,AMET,SIYANA,ST
BANSWARA,ANANDPURI,AMLIYA AMBADRA,ST (Woman)
BANSWARA,ANANDPURI,ANANDPURI,ST (Woman)
BANSWARA,ANANDPURI,BADLIYA,ST (Woman)
BANSWARA,ANANDPURI,BERJDIYA,ST
BANSWARA,ANANDPURI,BHALER BHODER,ST
BANSWARA,ANANDPURI,Bhawanpura,ST
BANSWARA,ANANDPURI,Borwania,ST (Woman)
BANSWARA,ANANDPURI,CHANDERVADA,ST
BANSWARA,ANANDPURI,CHHAJA,ST
BANSWARA,ANANDPURI,CHIKLI TEJA,ST
BANSWARA,ANANDPURI,CHORDI,ST
BANSWARA,ANANDPURI,Dhanku,ST
BANSWARA,ANANDPURI,Dhodhiya,ST
BANSWARA,ANANDPURI,DHOKAR,ST (Woman)
BANSWARA,ANANDPURI,Jher,ST (Woman)
BANSWARA,ANANDPURI,KAJLIYA,ST
BANSWARA,ANANDPURI,KANELA,ST
BANSWARA,ANANDPURI,KARDA,ST (Woman)
BANSWARA,ANANDPURI,MADKOLA MOGJI,ST (Woman)
BANSWARA,ANANDPURI,MAINA PADAR,ST
BANSWARA,ANANDPURI,MUNDRI,ST (Woman)
BANSWARA,ANANDPURI,NAHARPURA,ST (Woman)
BANSWARA,ANANDPURI,OMBELA,ST
BANSWARA,ANANDPURI,Paatia,ST
BANSWARA,ANANDPURI,PAT NAVADHRA,ST (Woman)
BANSWARA,ANANDPURI,PATIA GALIYA,ST
BANSWARA,ANANDPURI,PHALVA,ST
BANSWARA,ANANDPURI,RATANPURA,ST
BANSWARA,ANANDPURI,Seraangala,ST (Woman)
BANSWARA,ANANDPURI,SUNDRAV,ST (Woman)
BANSWARA,ANANDPURI,TAMTIYA,ST (Woman)
BANSWARA,ANANDPURI,Tejpura,ST (Woman)
BANSWARA,ANANDPURI,UDAIPURA BADA,ST (Woman)
BANSWARA,ANANDPURI,VARETH,ST (Woman)
BARAN,ANTAH,BADWA,General
BARAN,ANTAH,BAMULIYA KALAN,General (Woman)
BARAN,ANTAH,BAMULIYA MATAJI,OBC (Woman)
BARAN,ANTAH,JAI NAGAR,General (Woman)
BARAN,ANTAH,PACHEL KALAN,SC (Woman)
BARAN,ANTAH,PALAYTHA,General
BARAN,ANTAH,PATONDA,General (Woman)
BARAN,ANTAH,SORAKHAND KALAN,General (Woman)
BARAN,ANTAH,AMLSARA,OBC (Woman)
BARAN,ANTAH,BADGAON,OBC
BARAN,ANTAH,BALAKHERA,SC
BARAN,ANTAH,BALDARA,General
BARAN,ANTAH,BHOJYA KHERI,SC
BARAN,ANTAH,BIJORA,ST
BARAN,ANTAH,CHAHERIYA,General (Woman)
BARAN,ANTAH,KACHARI,ST
BARAN,ANTAH,KHAJURNA KALAN,General (Woman)
BARAN,ANTAH,MIRJAPUR,SC
BARAN,ANTAH,NAGDA,General (Woman)
BARAN,ANTAH,NIYANA,General
BARAN,ANTAH,PALSAWA,ST (Woman)
BARAN,ANTAH,RATARIYA,SC (Woman)
BARAN,ANTAH,SORSAN,OBC
BARAN,ANTAH,THIKARIYA,General
GANGANAGAR,ANUPGARH,11 P(PATRODA),General
GANGANAGAR,ANUPGARH,18 P,General (Woman)
GANGANAGAR,ANUPGARH,21 SJM,SC (Woman)
GANGANAGAR,ANUPGARH,22 A,General
GANGANAGAR,ANUPGARH,3 ND,SC (Woman)
GANGANAGAR,ANUPGARH,30 APD,SC
GANGANAGAR,ANUPGARH,4 LM,SC
GANGANAGAR,ANUPGARH,4 MSR,OBC
GANGANAGAR,ANUPGARH,4 SPS (Salempura),SC (Woman)
GANGANAGAR,ANUPGARH,4KSM (BANDA),General (Woman)
GANGANAGAR,ANUPGARH,7 SJM,SC
GANGANAGAR,ANUPGARH,74 GB,SC
GANGANAGAR,ANUPGARH,1 LSM(BANDA COLONEY),General
GANGANAGAR,ANUPGARH,11 12 ND(NAHARAWALI),SC
GANGANAGAR,ANUPGARH,12 A-B,SC
GANGANAGAR,ANUPGARH,12 H HISHAMKI,General (Woman)
GANGANAGAR,ANUPGARH,14 APD(KAMRANIYA),SC (Woman)
GANGANAGAR,ANUPGARH,15 A(B),SC (Woman)
GANGANAGAR,ANUPGARH,15 LM,General (Woman)
GANGANAGAR,ANUPGARH,2 PGM B,General (Woman)
GANGANAGAR,ANUPGARH,20 LM(LUNIA),OBC (Woman)
GANGANAGAR,ANUPGARH,27 A,General
GANGANAGAR,ANUPGARH,54 GB,General
GANGANAGAR,ANUPGARH,59 GB (RAMSINGHPUR),SC (Woman)
GANGANAGAR,ANUPGARH,6:00 PM,General (Woman)
GANGANAGAR,ANUPGARH,61 GB,SC (Woman)
GANGANAGAR,ANUPGARH,65 GB,General (Woman)
GANGANAGAR,ANUPGARH,72 GB,SC
GANGANAGAR,ANUPGARH,78 GB,General
GANGANAGAR,ANUPGARH,8 KB,General (Woman)
GANGANAGAR,ANUPGARH,9 LMB,SC
GANGANAGAR,ANUPGARH,90 GB,General
AJMER,ARAI,AKODIYA,General (Woman)
AJMER,ARAI,ARAI,SC
AJMER,ARAI,BAROL,OBC
AJMER,ARAI,BHAGWANTPURA,OBC (Woman)
AJMER,ARAI,BHAMOLAW,SC (Woman)
AJMER,ARAI,BHOGADEET,General (Woman)
AJMER,ARAI,BORADA,OBC
AJMER,ARAI,CHHOTA LAMBA,SC
AJMER,ARAI,DABRELA,General
AJMER,ARAI,DADIYA,General (Woman)
AJMER,ARAI,DEVPURI,General
AJMER,ARAI,DHASUK,SC
AJMER,ARAI,GOTHIYANA,General
AJMER,ARAI,JHEEROTA,General (Woman)
AJMER,ARAI,Kakalwada,SC (Woman)
AJMER,ARAI,KALANADA,OBC
AJMER,ARAI,KASEER,General
AJMER,ARAI,KATSURA,General (Woman)
AJMER,ARAI,MANDAWARIYA,General (Woman)
AJMER,ARAI,MANOHARPURA,OBC (Woman)
AJMER,ARAI,SANDOLIYA,General (Woman)
AJMER,ARAI,SIRONJ,ST
BANSWARA,ARA THUNA,ANJANA,ST
BANSWARA,ARA THUNA,ARTHUNA,ST (Woman)
BANSWARA,ARA THUNA,BAKTHPURA,ST
BANSWARA,ARA THUNA,BASSI MOTI,ST
BANSWARA,ARA THUNA,Bhatar,ST (Woman)
BANSWARA,ARA THUNA,BILODA,ST
BANSWARA,ARA THUNA,Gamdi Narayan,ST (Woman)
BANSWARA,ARA THUNA,Ganewa,ST
BANSWARA,ARA THUNA,Gosai Ka Parda,ST (Woman)
BANSWARA,ARA THUNA,ITAUVA,ST
BANSWARA,ARA THUNA,JHADSA,ST (Woman)
BANSWARA,ARA THUNA,JOLANA,ST
BANSWARA,ARA THUNA,KESERPURA,ST
BANSWARA,ARA THUNA,KOTDA,ST (Woman)
BANSWARA,ARA THUNA,Kuwaliya,ST
BANSWARA,ARA THUNA,MALANA,ST (Woman)
BANSWARA,ARA THUNA,Mandelapada,ST (Woman)
BANSWARA,ARA THUNA,NAHALI,ST
BANSWARA,ARA THUNA,NEVADHRA,ST
BANSWARA,ARA THUNA,Oda,ST (Woman)
BANSWARA,ARA THUNA,ODVADA,ST (Woman)
BANSWARA,ARA THUNA,RAIYANA,ST
BANSWARA,ARA THUNA,SARANPUR,ST (Woman)
BANSWARA,ARA THUNA,TAMTIYA RATHOD,ST
BANSWARA,ARA THUNA,TIMURVA,ST (Woman)
BANSWARA,ARA THUNA,PADEDI,ST (Woman)
BANSWARA,ARA THUNA,PANCHVADA,ST
PRATAPGARH,ARNOD,ACHLAVADA,ST (Woman)
PRATAPGARH,ARNOD,ACHNARA,ST
PRATAPGARH,ARNOD,ARNOD,ST (Woman)
PRATAPGARH,ARNOD,Barvas Kalan,ST (Woman)
PRATAPGARH,ARNOD,BEDMA,ST (Woman)
PRATAPGARH,ARNOD,CHUPNA,ST
PRATAPGARH,ARNOD,FATEHGARH,ST
PRATAPGARH,ARNOD,HINGLATA,ST
PRATAPGARH,ARNOD,JAJALI,ST (Woman)
PRATAPGARH,ARNOD,Kodinera,ST (Woman)
PRATAPGARH,ARNOD,KOTARI,ST (Woman)
PRATAPGARH,ARNOD,LALGARH,ST
PRATAPGARH,ARNOD,Lupdi,ST
PRATAPGARH,ARNOD,Mandavara,ST (Woman)
PRATAPGARH,ARNOD,MOHEDA,ST
PRATAPGARH,ARNOD,MOWAI,ST
PRATAPGARH,ARNOD,Nagdi,ST (Woman)
PRATAPGARH,ARNOD,NAUGAONA,ST
PRATAPGARH,ARNOD,Pratappura,ST (Woman)
PRATAPGARH,ARNOD,SANKHTHALI KHURD,ST
PRATAPGARH,ARNOD,VIRAWALI,ST (Woman)
BHILWARA,ASIND,AAMESAR,SC
BHILWARA,ASIND,BARANA,ST
BHILWARA,ASIND,BARSNI,General
BHILWARA,ASIND,BHRAMON KI SARERI,General (Woman)
BHILWARA,ASIND,BOARELA,SC (Woman)
BHILWARA,ASIND,DANDAWAT,General (Woman)
BHILWARA,ASIND,DANTRA,SC (Woman)
BHILWARA,ASIND,DOLATGARH,General
BHILWARA,ASIND,GANGALAS,General
BHILWARA,ASIND,IRAS,ST
BHILWARA,ASIND,JHALRIYA,OBC
BHILWARA,ASIND,JINDRAS,SC
BHILWARA,ASIND,KALIYAS,General
BHILWARA,ASIND,KANVLAS,OBC
BHILWARA,ASIND,KARJALIYA,OBC (Woman)
BHILWARA,ASIND,KATAR,General (Woman)
BHILWARA,ASIND,LACHHUDA,OBC (Woman)
BHILWARA,ASIND,Malasseri (B),ST (Woman)
BHILWARA,ASIND,MOD KA NIMBAHEDA,General (Woman)
BHILWARA,ASIND,MOTIPUR,General (Woman)
BHILWARA,ASIND,NAGEDIYA,General (Woman)
BHILWARA,ASIND,PALDI,General
BHILWARA,ASIND,PARASOLI,General
BHILWARA,ASIND,RAGHUNATHPURA,General
BHILWARA,ASIND,RATANPURA (LA),General (Woman)
BHILWARA,ASIND,ROOPPURA,OBC
BHILWARA,ASIND,SHAMBHU GARH,General (Woman)
BHILWARA,ASIND,TILOLI,General (Woman)
DUNGARPUR,ASPUR,AASPUR,ST (Woman)
DUNGARPUR,ASPUR,AMRITIYA,ST (Woman)
DUNGARPUR,ASPUR,Badlia,ST
DUNGARPUR,ASPUR,BADODA,ST (Woman)
DUNGARPUR,ASPUR,BANKODA,ST
DUNGARPUR,ASPUR,BHEWADI,ST
DUNGARPUR,ASPUR,DEVLA,ST (Woman)
DUNGARPUR,ASPUR,Dhanela,ST
DUNGARPUR,ASPUR,GALIYUANA,ST (Woman)
DUNGARPUR,ASPUR,GANESHPUR,ST (Woman)
DUNGARPUR,ASPUR,GOL,ST
DUNGARPUR,ASPUR,INDODA,ST
DUNGARPUR,ASPUR,KATISAUR,ST
DUNGARPUR,ASPUR,KHALIL,ST
DUNGARPUR,ASPUR,KHEDA AASPUR,ST (Woman)
DUNGARPUR,ASPUR,KHUDRADA,ST (Woman)
DUNGARPUR,ASPUR,KOTHADI,ST
DUNGARPUR,ASPUR,LILAWASA,ST (Woman)
DUNGARPUR,ASPUR,Massana,ST (Woman)
DUNGARPUR,ASPUR,MOWAI,ST (Woman)
DUNGARPUR,ASPUR,NANDLI SAGODA,ST (Woman)
DUNGARPUR,ASPUR,Nepalpura,ST (Woman)
DUNGARPUR,ASPUR,PARADIETAWAR,ST
DUNGARPUR,ASPUR,PARDATHURA,ST
DUNGARPUR,ASPUR,PUNJPUR,ST (Woman)
DUNGARPUR,ASPUR,RAMGARH,ST
DUNGARPUR,ASPUR,RAYKI,ST
DUNGARPUR,ASPUR,SAKANI,ST
DUNGARPUR,ASPUR,TOKWASA,ST
DUNGARPUR,ASPUR,Vasundar Chhoti,ST
DUNGARPUR,ASPUR,Wadaghodia,ST (Woman)
BARAN,ATRU,ANTANA,General (Woman)
BARAN,ATRU,AOTAN,General (Woman)
BARAN,ATRU,ARDAND,General (Woman)
BARAN,ATRU,ATRU,SC (Woman)
BARAN,ATRU,BADORA,General
BARAN,ATRU,BAMORI,General (Woman)
BARAN,ATRU,BARLA,OBC
BARAN,ATRU,BHAINSDA,SC
BARAN,ATRU,CHARDANA,General
BARAN,ATRU,DARA,General
BARAN,ATRU,DEELODHATHI,General (Woman)
BARAN,ATRU,GORDHANPURA,SC
BARAN,ATRU,JEEROD,ST
BARAN,ATRU,KANOTIYA,General
