script,source,latin,suspect
devanagari,- गरजासारन,garjasaran,
devanagari,- गुमरो,gumro,
devanagari,- गुलाबवती,gulabavati,
devanagari,- गोलबंधा,golbandha,
devanagari,- घरौंजा,gharaunja,
devanagari,- चितरागड़िया,chitaragadiya,
devanagari,- चुटिया,chutiya,
devanagari,- चुतरु,chutaru,
devanagari,- जामुगड़िया,jamugadiya,
devanagari,- झुनकी,jhunaki,
devanagari,- ढाका,dhaka,
devanagari,- तमगेकला,tamgekala,
devanagari,- द0,dav,
devanagari,- दक्षिणी डोरण्डा,dakshini doranda,
devanagari,- दक्षिणी धनवार,dakshini dhanwar,
devanagari,- दुधवल,dudhwal,
devanagari,- धोबनाहरिणबहाल,dhobaranbahinabal,
devanagari,"- नकहा
गीता देवी",nakaha geeta devi,
devanagari,- नयाडीह,nayadih,
devanagari,- पंचरूखी,panchrukhi,
devanagari,- पतरोडीह,patarodih,
devanagari,- पलासी,palasi,
devanagari,- पहाडपुर,pahadpur,
devanagari,- पाण्डेयडीह,pandeyadih,
devanagari,- पिण्डरगड़िया,pindargadiya,
devanagari,- प्यारेलाल,pyarelal,
devanagari,- प्रयाग,prayag,
devanagari,- बजटो,bajato,
devanagari,- बड़ादुमरिया,badadumariya,
devanagari,- बदगुन्दाखुर्द,badgukundakhard,
devanagari,- बरमसिया,baramsiya,
devanagari,- बर्डीकानपुर,bardikanpur,
devanagari,- बलहारा,balhara,
devanagari,- बाँकीजोर,bankijor,
devanagari,- बाँधी,baandhi,
devanagari,- बाँसपहाड़ी,banspahadi,
devanagari,- बास्कीडीह,baskidih,
devanagari,- बाहाहारा,bahahara,
devanagari,- बेरदोंगा,berdonga,
devanagari,- भलुटाँड,bhalutand,
devanagari,- मलुटी,maluti,
devanagari,- मसानजोर,masanjor,
devanagari,- महिला,mahila,
devanagari,- महिला कमला देवी,mahila kamla devi,
devanagari,- महिला ज्ञानवती,mahila gyaanvati,
devanagari,- महिला निर्मला देवी,mahila nirmala devi,
devanagari,- महिला प्रतिमा देवी,mahila pratima devi,
devanagari,- महिला प्रभावती,mahila prabhaavati,
devanagari,- महिला बिट्टन श्री,mahila bittan shri,
devanagari,- महिला भानमती,mahila bhanamati,
devanagari,- महिला महदेई,mahila mahdei,
devanagari,- महिला मालती देवी,mahila malati devi,
devanagari,"- महिला राजकुमारी
हबीबुर रहमान",mahila rajkumari habibur rahmaan,
devanagari,- महिला शान्ती,mahila shaanti,
devanagari,- महिला शिवराजी,mahila shivaraji,
devanagari,- महिला सरोज,mahila saroj,
devanagari,- महिला सावित्री,mahila savitri,
devanagari,- महिला हिरावती,mahila hirawati,
devanagari,- महेशमरवा,maheshamarwa,
devanagari,- मानपुर,manpur,
devanagari,- मुड़ायाम,mudaayaam,
devanagari,- मोहुलपहाड़ी,mohulpahadi,
devanagari,- योगियाटिल्हा,yogiatilha,
devanagari,- योगीटांड,yogitand,
devanagari,- रंकाकला,rankakala,
devanagari,- रांगा,ranga,
devanagari,- रानीधाघर,ranidhaghar,
devanagari,- रूपायडीह,rupaydih,
devanagari,- लालबाजार,lalbazar,
devanagari,- लेदा,leda,
devanagari,- विश्रामपुर,vishrampur,
devanagari,- शहरपुर,shaharpur,
devanagari,- शिकारीपाड़ा,shikaripada,
devanagari,- शिवतल्ला,shivatalla,
devanagari,- श्रीमती,shrimati,
devanagari,- सरसडंगाल,sarsangala,
devanagari,- सांपचाला,sampachala,
devanagari,- सिमानीजोर,simanijor,
devanagari,- सिरसाय,sirsai,
devanagari,- सिरोईखूर्द,siroikhurd,
devanagari,- सुग्गापहाडी,suggapahadi,
devanagari,- सोनदाग,sondag,
devanagari,- सोनाढाब,sonadhab,
devanagari,- हारोरायडीह,haroridih,
devanagari,- हीरापुर,hirapur,
devanagari,-अकदोनीकला,akdonikala,
devanagari,-उदनाबाद,udanabad,
devanagari,-ककरचोली,kakracholi,
devanagari,-कटहाडीह,katahadih,
devanagari,-कटिया,katiya,
devanagari,-कोटियालगांव,kotialgaon,
devanagari,-खावा,khawa,
devanagari,-गडगी,gadgi,
devanagari,-गादीश्रीरामपुर,gadishrirampur,
devanagari,-गोहाल,gohal,
devanagari,-चेहाल,chehal,
devanagari,-चैताडीह,chaitadih,
devanagari,-जयनगर पश्चिमी,jayanagar pashchimi,
devanagari,-जयनगर पूर्वी,jayanagar purvi,
devanagari,-जसपुर,jaspur,
devanagari,-डण्डाडीह,dandadih,
devanagari,-तिलोकरी,tilokari,
devanagari,-तेतरौन,tetraun,
devanagari,-नईटांड,naitand,
devanagari,-पडरिया,padariya,
devanagari,-पालमो,palmo,
devanagari,-पिपचो,pipcho,
devanagari,-पुरनानगर,purnanagar,
devanagari,-बरहमोरिया,barhamoria,
devanagari,-बेको,beko,
devanagari,-सतडीहा,satdiha,
devanagari,-सिकदारडीह,sikdardih,
devanagari,-सिन्दवरिया,sindvariya,
devanagari,-सिहोडीह,sihodih,
devanagari,-सेनादोनी,senadoni,
devanagari,. अम्बाला तिवारी,ambala tivaari,
devanagari,. चंगेरी,changeri,
devanagari,. नसीराबाद खुर्द,nasirabad khurd,
devanagari,.चौमुखा,chaumukha,
devanagari,.नरेन्द्र नागर,narendra nagar,
devanagari,01- कतरी,katari,
devanagari,01- तपसी,tapasi,
devanagari,01- तेलाईडीह,telaidih,
devanagari,01- दिरगाँव,dirgaon,
devanagari,01- बड़ाचापुड़िया,badaachaapudiya,
devanagari,01- रेड़वा,redwa,
devanagari,01- शंकरपुर,shankarpur,
devanagari,01-- केमटे,kemate,
devanagari,01-- जनावल,janaval,
devanagari,01-- लरंगो,larango,
devanagari,01-अरजुवा,arjuva,
devanagari,01-अरमो,armo,
devanagari,01-एडचेरा,edchera,
devanagari,01-खोरीपानन,khoripanan,
devanagari,01-गदाई महाराजपुर दियारा,gadai maharajpur diyara,
devanagari,01-चनारो,chanaro,
devanagari,01-चन्दरा,chandara,
devanagari,01-चोरदाहा,chordaha,
devanagari,01-जोंका,jonka,
devanagari,01-टाटी पूर्वी,tati purvi,
devanagari,01-डण्डा,danda,
devanagari,01-तांतरी उ0,tantari uu,
devanagari,01-तारुप,tarup,
devanagari,01-तैमारा,taimara,
devanagari,01-दानेकेरा,danekera,
devanagari,01-पेड़ायडीह,pedaayadih,
devanagari,01-बंदियो,bandiyo,
devanagari,01-बड़गड़,badgad,
devanagari,01-बडा मदनशाही,bada madanshahi,
devanagari,01-बडी भगियामारी,badi bhagiyamari,
devanagari,01-बलिगढ,baligadh,
devanagari,01-बाटविनोर,batwinor,
devanagari,01-बारा,bara,
devanagari,01-मण्डईखुर्द,mandaikhurd,
devanagari,01-मनातु,manatu,
devanagari,01-मल्टी,malti,
devanagari,01-महादेववरण,mahadevaran,
devanagari,01-मानगो,mango,
devanagari,01-मुंगोरंगामाटी,mungorangamati,
devanagari,01-राहा,raha,
devanagari,01-सताकी,sataki,
devanagari,01-सातगाछी,satgachi,
devanagari,01-सारले,saarale,
devanagari,01-सुण्डी,sundi,
devanagari,01-सोनपुरा,sonpura,
devanagari,01-हलमाद,halmad,
devanagari,01-हाजीपुर पश्चिम,hajipur pashchim,
devanagari,01-हिरणपुर,hiranpur,
devanagari,01-हुरलुंग,hurlung,
devanagari,01– अमलिया,amalia,lost 1 of 2 words
devanagari,01– उदनी,udani,lost 1 of 2 words
devanagari,01– ओकबा,okba,lost 1 of 2 words
devanagari,01– कोलेंग,koleng,lost 1 of 2 words
devanagari,01– जरडा,jarda,lost 1 of 2 words
devanagari,01– निरासी,nirasi,lost 1 of 2 words
devanagari,01–खैरा ग्राम पंचायत,gram panchayat,lost 1 of 3 words
devanagari,01–जिन्तु,,empty
devanagari,01–तिरुलडीह,,empty
devanagari,01–पढुआ,,empty
devanagari,01–पतिहारी,,empty
devanagari,01–सिन्दुवारी,,empty
devanagari,01—मन्दरों,,empty
devanagari,02- कोटाम,kotam,
devanagari,02- कोन्सा,konsa,
devanagari,02- जोरडीहा,jordiha,
devanagari,02- पीपरा,pipara,
devanagari,02- बिमरला,bimarla,
devanagari,02- सिमरा,simra,
devanagari,02-- कांसीर,kansir,
devanagari,02-- छिछवानी,chhichhwani,
devanagari,02-- पूसो,pooso,
devanagari,02-अम्बाझरिया,ambajhariya,
devanagari,02-ईटकी पश्चिमी,eetki pashchimi,
devanagari,02-कनारी पश्चिमी,kanari pashchimi,
devanagari,02-गोबिन्दपुर ए,gobindpur eie,
devanagari,02-घाट जमनी,ghaat jamani,
devanagari,02-चुरगी,churgi,
devanagari,02-चुरचू,churchu,
devanagari,02-छापर,chhaapar,
devanagari,02-झिलुआचांदडीह,jhiluanchadanih,
devanagari,02-टाटी पश्चिमी,tati pashchimi,
devanagari,02-तमाड़ पश्चिमी,tamaad pashchimi,
devanagari,02-तांतरी द0,tantari dav,
devanagari,02-दांतू,dantu,
devanagari,02-देवरी,devri,
devanagari,02-दैहर,daihar,
devanagari,02-धपरा,dhapra,
devanagari,02-नयावन,nayavan,
devanagari,02-पचडा,pachda,
devanagari,02-पतकी,pataki,
devanagari,02-पपलो,papalo,
devanagari,02-परसवार,parasavaar,
devanagari,02-पोखरिया,pokhriya,
devanagari,02-फुलभंगा,fulbhanga,
devanagari,02-बडतल्ला,badatlya,
devanagari,02-बड़की सिधावारा,badki sidhawara,
devanagari,02-बडा तौफीर,bada taufir,
devanagari,02-बानापिड़ी,banapidi,
devanagari,02-बिराजपुर,birajpur,
devanagari,02-बोकरन्दा,bokaranda,
devanagari,02-भिखही,bhikhahi,
devanagari,02-मखमलपुर दक्षिण,makhamalpur dakshin,
devanagari,02-मण्डईकला,mandaikala,
devanagari,02-मोती झरना,moti jharana,
devanagari,02-रढ़िया,radhiya,
devanagari,02-राजी,raji,
devanagari,02-रामनगर,ramnagar,
devanagari,02-सदमा,sadma,
devanagari,02-सुतियारपाड़ा,sutiyarpada,
devanagari,02-हाकेदाग,hakedag,
devanagari,02पोखरीकला,pokharikala,
devanagari,02– अकासी,akasi,lost 1 of 2 words
devanagari,02– उमड़ा,umadaa,lost 1 of 2 words
devanagari,02– कविलासी,kavilasi,lost 1 of 2 words
devanagari,02– गोविन्दपुर,govindpur,lost 1 of 2 words
devanagari,02– घाघरा,ghaghara,lost 1 of 2 words
devanagari,02– ममरला,mamrala,lost 1 of 2 words
devanagari,02– सुपा,supa,lost 1 of 2 words
devanagari,02–चौड़ा,,empty
devanagari,02–झरपो ग्राम पंचायत,gram panchayat,lost 1 of 3 words
devanagari,02–डाड़ीकला,,empty
devanagari,02–लोवादाग,,empty
devanagari,02–सरॉग,,empty
devanagari,02–सोनाहातु,,empty
devanagari,02—सरवा,,empty
devanagari,03- आंजन,anjan,
devanagari,03- आदर,aadar,
devanagari,03- कृष्णापुर,krishnapur,
devanagari,03- ढोढली,dhodhali,
devanagari,03- तेतरिया,tetariya,
devanagari,03- रामतोल्या,ramtolya,
devanagari,03- विछीयापहाड़ी,vichhiyaapahaadi,
devanagari,03-- उपरखटंगा,uparkhatanga,
devanagari,03-- बरवेनगर,baravenagar,
devanagari,03-- बोन्डो,bondo,
devanagari,03-अम्बाडीहा,ambadiha,
devanagari,03-ईटकी पूर्वी,eetki purvi,
devanagari,03-उमेडण्डा,umedanda,
devanagari,03-ओकनी उ0,okani uu,
devanagari,03-कल्याणी,kalyani,
devanagari,03-कालू,kalu,
devanagari,03-केंवा,kenva,
devanagari,03-खरौन्धी,kharaundhi,
devanagari,03-खिजुरखाल,khijurkhal,
devanagari,03-खुँटरी,khuntari,
devanagari,03-गोड़ाबाली उत्तरी,godabali uttari,
devanagari,03-गोबिन्दपुर बी,gobindpur bee,
devanagari,03-ग्वालबदिया,gwalbadiya,
devanagari,03-चट्टीबारियातु,chattibariyatu,
devanagari,03-चतरोचट्टी,chatarochati,
devanagari,03-छपरदागा,chhapardaga,
devanagari,03-झापा,jhapa,
devanagari,03-तमाड़ पूर्वी,tamaad purvi,
devanagari,03-तेनुघाट,tenughat,
devanagari,03-तेलो पश्चिमी,telo pashchimi,
devanagari,03-दुर्गा टोला,durga tola,
devanagari,03-धावाचिता,dhavachita,
devanagari,03-नागेडीह,nagedih,
devanagari,03-पतौड़ा,patauda,
devanagari,03-पुरियो,purio,
devanagari,03-पेंक,penk,
devanagari,03-पोण्डा,ponda,
devanagari,03-बारूहातु,baruhatu,
devanagari,03-बीचगढ़ा,beechgarhaa,
devanagari,03-मखमलपुर उत्तर,makhamalpur uttar,
devanagari,03-मदगड़ी च,madgadi bhach,
devanagari,03-महुगांव,mahugaon,
devanagari,03-मोकिमपुर,mokimpur,
devanagari,03-रमकंडा,ramkanda,
devanagari,03-साहेर,saher,
devanagari,03-सिलफोर,silfor,
devanagari,03-सिलवे,silve,
devanagari,03-हेन्देबिली,hendebili,
devanagari,03-होटलो,hotlo,
devanagari,03– आताकोरा,atakora,lost 1 of 2 words
devanagari,03– जैरागी,jairagi,lost 1 of 2 words
devanagari,03– नरमा,narma,lost 1 of 2 words
devanagari,03– पुनाई,punai,lost 1 of 2 words
devanagari,03– बघिमा,baghima,lost 1 of 2 words
devanagari,03– बनई,banai,lost 1 of 2 words
devanagari,03– शिशिकरम टोली,shishikaram tolie,lost 1 of 3 words
devanagari,03–कुकडु,,empty
devanagari,03–चेपाकला,,empty
devanagari,03–तेनार,,empty
devanagari,03–बारूहातु,,empty
devanagari,03–भराजो ग्राम पंचायत,gram panchayat,lost 1 of 3 words
devanagari,03—विसहाखटंगा,,empty
devanagari,04- आसनपहाड़ी,aasanpahaadi,
devanagari,04- खरका,kharka,
devanagari,04- टुरूण्डू,turundu,
devanagari,04- दलाईकेला,dalaikela,
devanagari,04- सरांगो,sarango,
devanagari,04- सहारा,sahara,
devanagari,04- सिकटिया,sikatiya,
devanagari,04-- छारदा,chharda,
devanagari,04-- परसा,parsa,
devanagari,04-- रामपुर,rampur,
devanagari,04-अमलाबाद,amalabad,
devanagari,04-ओकनी द0,okani dav,
devanagari,04-करणपुरा,karanpura,
devanagari,04-कसमार,kasmar,
devanagari,04-किशन प्रसाद,kishan prasad,
devanagari,04-गोड़ाडीह,godadih,
devanagari,04-गोड़ाबाली दक्षिणी,godabali dakshini,
devanagari,04-गोनियाटो,goniato,
devanagari,04-गोबिन्दपुर सी,gobindpur sii,
devanagari,04-घरवाटॉड़,gharwatod,
devanagari,04-टुण्डाहुली,tundahuli,
devanagari,04-टेहरी,tehari,
devanagari,04-तुन्जू,tunju,
devanagari,04-तेलो मध्य,telo madhya,
devanagari,04-दादपुर,dadpur,
devanagari,04-दामिन भिट्ठा,damin bhittha,
devanagari,04-नगड़ी,nagadi,
devanagari,04-पंचकठिया संथाली,panchakathiya santhali,
devanagari,04-पश्चिमी उधवा,pashchimi udhavaa,
devanagari,04-पाण्डु,pandu,
devanagari,04-पुण्डीदीरी,pundidiri,
devanagari,04-पुनासी,punasi,
devanagari,04-बंका,banka,
devanagari,04-बड़की चिदरी,badki chidri,
devanagari,04-बारू,baru,
devanagari,04-बीरबल कांदर,beerbal kander,
devanagari,04-बेलडीहा,beldiha,
devanagari,04-मक्का,makka,
devanagari,04-मझिगांवा,majhiganwa,
devanagari,04-महिलौंग,mahilaung,
devanagari,04-मिर्जापुर,mirjapur,
devanagari,04-रानीखटंगा,ranikhatanga,
devanagari,04-राहे,rahe,
devanagari,04-सैदपुर,saidpur,
devanagari,04-हरहे,harahe,
devanagari,04-हुरहुरी,hurhari,
devanagari,04-हुल्सू,hulsu,
devanagari,04– जिनगा,jinaga,lost 1 of 2 words
devanagari,04– जुरमू,jurmu,lost 1 of 2 words
devanagari,04– दुम्बो,dumbo,lost 1 of 2 words
devanagari,04– पोकटा,pokta,lost 1 of 2 words
devanagari,04– बनारी,banari,lost 1 of 2 words
devanagari,04– बागेसेरा,bagerase,lost 1 of 2 words
devanagari,04– सिकरी,sikari,lost 1 of 2 words
devanagari,04–ईचाडीह,,empty
devanagari,04–गलउ,,empty
devanagari,04–डहरभंगा ग्राम पंचायत,gram panchayat,lost 1 of 3 words
devanagari,04–बड़कागाँव प0,pai,lost 1 of 2 words
devanagari,04–संगबरिया,,empty
devanagari,04—महुवाजाडी,,empty
devanagari,05- आसनसोल कुरुवा,asansol kuruva,
devanagari,05- कामडारा,kamdara,
devanagari,05- चुन्दरी,chundari,
devanagari,05- टोटो,toto,
devanagari,05- तेलियाचक बाजार,teliachak bajar,
devanagari,05- बड़ाआमदा,badaaaamadaa,
devanagari,05- बरमासा,barmasa,
devanagari,05-- चैनपुर,chainpur,
devanagari,05-- भूरसो,bhurso,
devanagari,05-- सिकोई,sikoi,
devanagari,05-अंधरीगादर,andharigadar,
devanagari,05-आरा,ara,
devanagari,05-एदलहातु,edalhaatu,
devanagari,05-ओझासाडम,ojhasadam,
devanagari,05-कर्रीखुर्द,karkrikhurd,
devanagari,05-कसबा,kasba,
devanagari,05-कुच्चू,kuchchu,
devanagari,05-कुन्दी,kundi,
devanagari,05-कैथिया,kaithiya,
devanagari,05-कोलघटी,kolghati,
devanagari,05-गरी,gari,
devanagari,05-गोबिन्दपुर डी,gobindpur dee,
devanagari,05-चन्दनी,chandani,
devanagari,05-चयकला,chayakala,
devanagari,05-चरही,charahi,
devanagari,05-चांपी,champi,
devanagari,05-चेटे,chete,
devanagari,05-डोकाद,dokad,
devanagari,05-ताराबाद,tarabad,
devanagari,05-तेलो पूर्वी,telo purvi,
devanagari,05-देवग्राम,devgram,
devanagari,05-धावाडीह,dhavadih,
devanagari,05-धुनाबु:,dhunabu,
devanagari,05-नारायणपुर,narayanpur,
devanagari,05-नारो,naro,
devanagari,05-पंचकठिया बाजार,panchakathiya bajar,
devanagari,05-पिंडरा,pindra,
devanagari,05-पूर्वी उधवा,purvi udhavaa,
devanagari,05-बरारी,barari,
devanagari,05-बाँधडीह उ0,baandhadih uu,
devanagari,05-बांझी संथाली,baanjhi santhali,
devanagari,05-बेंगवरी,bengavari,
devanagari,05-मसकलैया,maskalaiya,
devanagari,05-मानकीडीह,maankeedih,
devanagari,05-माराफारी पुर्नवास,marafari purnavas,
devanagari,05-रातु उत्तरी,ratu uttari,
devanagari,05-लोटा,lota,
devanagari,05-सापुकेरा,sapukera,
devanagari,05-हाजीपुर पूरब,hajipur purab,
devanagari,05– टेंगरिया,tengariya,lost 1 of 2 words
devanagari,05– भरनो उत्तरी,bharno uttari,lost 1 of 3 words
devanagari,05– मझगाँव,majhgaanv,lost 1 of 2 words
devanagari,05– मेराल,meral,lost 1 of 2 words
devanagari,05– लुंगटू,lungtu,lost 1 of 2 words
devanagari,05– सेरका,serka,lost 1 of 2 words
devanagari,05–अमहरखास,,empty
devanagari,05–चेचरिया,,empty
devanagari,05–जामुदाग,,empty
devanagari,05–धरमपुर ग्राम पंचायत,gram panchayat,lost 1 of 3 words
devanagari,05–लेटेमदा,,empty
devanagari,05–सिकरी,,empty
devanagari,05—कैम्बो,,empty
devanagari,06- आस्ताजोड़ा,astajoda,
devanagari,06- कालाडुमरिया,kaladumariya,
devanagari,06- खटंगी,khatangi,
devanagari,06- जोजोडीह,jojodih,
devanagari,06- डुमरडीह,dumardih,
devanagari,06- नवडीहा,navdiha,
devanagari,06- सुरहू,surhu,
devanagari,06-- कुडोछत्रपुर,kudochhatrapur,
devanagari,06-- घाघरा,ghaghara,
devanagari,06-- बेन्दोरा,bendora,
devanagari,06-इन्दरा,indara,
devanagari,06-उदयपुर,udaypur,
devanagari,06-करीवाडीह,kariwadih,
devanagari,06-काछो,kachho,
devanagari,06-कुर्गी,kurgi,
devanagari,06-केनमनकाठी,kenamankathi,
devanagari,06-कौडी खुटौना,kaudi khutauna,
devanagari,06-खेतको,khetko,
devanagari,06-गंगा प्रसाद पश्चिम,ganga prasad pashchim,
devanagari,06-गगारी,gaggari,
devanagari,06-गभड़ेया,gabhadeya,
devanagari,06-गोबिन्दपुर ई,gobindpur bhaee,
devanagari,06-चिपरा,chipara,
devanagari,06-जवनपुर,jawanpur,
devanagari,06-तरंगा,taranga,
devanagari,06-तालझारी,taljhari,
devanagari,06-दोवाडू,dovadu,
devanagari,06-नयाचितकाठ,nayachitkach,
devanagari,06-नरकेरा पुर्नवास,narkera purnavas,
devanagari,06-प0 उधवा दियारा,pai udhavaa diyara,
devanagari,06-बंसिया,bansiya,
devanagari,06-बड़ाम,badaam,
devanagari,06-बडा रक्सो,bada rakso,
devanagari,06-बाँधडीह द0,baandhadih dav,
devanagari,06-मंजुरा,manjura,
devanagari,06-मालगो,malgo,
devanagari,06-मुरूपीरी,murupiri,
devanagari,06-रातु पूर्वी,ratu purvi,
devanagari,06-रूपसपुर,rupaspur,
devanagari,06-लालमाटी,lalmati,
devanagari,06-लुंगटू,lungtu,
devanagari,06-लोधी,lodhi,
devanagari,06-साँचपुर साँखी,saanchpur saankhi,
devanagari,06-सिन्दूर,sindur,
devanagari,06-सिमड़ा,simda,
devanagari,06-सियालजोरी,siyaljori,
devanagari,06-हेवई,hevai,
devanagari,06– करनी,karni,lost 1 of 2 words
devanagari,06– कुम्हारी,kumhari,lost 1 of 2 words
devanagari,06– पालकोट उत्तरी,palkot uttari,lost 1 of 3 words
devanagari,06– भरनो दक्षिणी,bharno dakshini,lost 1 of 3 words
devanagari,06– विशुनपुर,vishupur,lost 1 of 2 words
devanagari,06–खोरीडीह,,empty
devanagari,06–डूमर ग्राम पंचायत,gram panchayat,lost 1 of 3 words
devanagari,06–तेतला,,empty
devanagari,06–बेरासी सिरुम,sirum,lost 1 of 2 words
devanagari,06–बोंगईबेड़ा,,empty
devanagari,06–सिरमा,,empty
devanagari,06—बंझिला,,empty
devanagari,07- कदमा,kadama,
devanagari,07- खरसावाँ,kharsaavaan,
devanagari,07- घटगाँव,ghatgaon,
devanagari,07- देवाकी,devaki,
devanagari,07- नाचनगडिया,nachangadiya,
devanagari,07- रायकिनारी,raykinari,
devanagari,07- सालेगुटू,salegutu,
devanagari,07-- नवागढ़,navagarh,
devanagari,07-- मालम,malam,
devanagari,07-- शिवनाथपुर,shivnathpur,
devanagari,07-कंजकिरो,kanjkiro,
devanagari,07-करहरिया,karhariya,
devanagari,07-कुन्दला,kundala,
devanagari,07-गंगा प्रसाद प० मध्य,ganga prasad pai madhya,
devanagari,07-गड़रा,gadra,
devanagari,07-गढगांव,gadhgaon,
devanagari,07-गोबिन्दपुर एफ,gobindpur eph,
devanagari,07-चलकरी उ0,chalkari uu,
devanagari,07-चुडे,chude,
devanagari,07-जामपुर,jampur,
devanagari,07-जैना,jaina,
devanagari,07-तारानारी,taranari,
devanagari,07-दोलैचा,dolaicha,
devanagari,07-नगंवा,naganwa,
devanagari,07-पतराहातु,patarahatu,
devanagari,07-पुआल,pual,
devanagari,07-पूर्वी उधवा दियारा,purvi udhavaa diyara,
devanagari,07-बरवे,barve,
devanagari,07-बसतंपुर,basatampur,
devanagari,07-बाघाकोल,baghakol,
devanagari,07-बुढमू,budhamu,
devanagari,07-बेलतु,belatu,
devanagari,07-बेला,bela,
devanagari,07-बोडबांध,bodbandh,
devanagari,07-मतभंगा संथाली,matbhanga santhali,
devanagari,07-मधुकरपुर,madhukarpur,
devanagari,07-महाल पश्चिम,mahal pashchim,
devanagari,07-महासिंहपुर,mahasinghpur,
devanagari,07-माणिकपुर,maanikpur,
devanagari,07-रक्सी,raksi,
devanagari,07-रातु दक्षिण,ratu dakshin,
devanagari,07-सपारोम,saparom,
devanagari,07-सरासनी,sarasani,
devanagari,07-सिदरौल,sidraul,
devanagari,07-सिसरी,sisari,
devanagari,07-हुमटा,humata,
devanagari,07-हेन्देगढ़ा,hendegadha,
devanagari,07– अमतीपानी,amtipani,lost 1 of 2 words
devanagari,07– डुमरी,dumri,lost 1 of 2 words
devanagari,07– तुरिअम्बा,turiamba,lost 1 of 2 words
devanagari,07– दारु,daru,lost 1 of 2 words
devanagari,07– पंथा,pantha,lost 1 of 2 words
devanagari,07– पालकोट दक्षिणी,palkot dakshini,lost 1 of 3 words
devanagari,07–जानुम,,empty
devanagari,07–टाटीझरिया ग्राम पंचायत,gram panchayat,lost 1 of 3 words
devanagari,07–तेलवाडीह,,empty
devanagari,07–बड़कागाँव मध्य,madhya,lost 1 of 2 words
devanagari,07–बिकताम,,empty
devanagari,07—कंजिया,,empty
devanagari,08- गरडाअमराकुण्डा,gardarakanduma,
devanagari,08- घाघरा,ghaghara,
devanagari,08- चन्दनपहाड़ी,chandanpahadi,
devanagari,08- चिकनियाँ,chikniyaan,
devanagari,08- नवाडीह,navadih,
devanagari,08- सरिता,sarita,
devanagari,08- हरिभंजा,haribhanja,
devanagari,08-- कुदरा,kudra,
devanagari,08-- बामदा,bamda,
devanagari,08-- सिलम,silam,
devanagari,08-अमानत दियारा,amanat diyara,
devanagari,08-अरंगी,arangi,
devanagari,08-ईरबा,irba,
devanagari,08-कण्डाबेर,kandaber,
devanagari,08-कुल्ली,kulli,
devanagari,08-कैथपुरा,kaithapura,
devanagari,08-खुटहरी,khutahari,
devanagari,08-गंगा प्रसाद पूरब मध्य,ganga prasad purab madhya,
devanagari,08-चकमे,chakme,
devanagari,08-चलकरी द0,chalkari dav,
devanagari,08-चैथी,chaithi,
devanagari,08-जरबा,jarba,
devanagari,08-टॉडबालीडीह,todabalidih,
devanagari,08-देवगांव,devagaon,
devanagari,08-नर्रा,narra,
devanagari,08-नवाडीह,navadih,
devanagari,08-पचमो,pachmo,
devanagari,08-परासी,parasi,
devanagari,08-पलामू,palamu,
devanagari,08-बड़ाचांगडू,baddachangadu,
devanagari,08-बडासी,badasi,
devanagari,08-बरईकला,baraikala,
devanagari,08-बरगावां,bargaavaan,
devanagari,08-बसहा,basaha,
devanagari,08-बोड़िया उत्तरी,bodiya uttari,
devanagari,08-मलहारा,malhara,
devanagari,08-महाल पूर्वी,mahal purvi,
devanagari,08-रातु पश्चिम,ratu pashchim,
devanagari,08-राधानगर,radhanagar,
